가중치가 적용된 열전도도 표준편차,가중치가 적용된 제1이온화 에너지 표준편차,전자 친화도 엔트로피,가중치가 적용된 원자량의 범위,가중치가 적용된 열전도도 범위,평균 전자 친화도,가중치가 적용된 밀도 범위,가중치가 적용된 기하평균 제1이온화 에너지,기하평균 원자 반지름,기하평균 원자량,평균 열전도도,밀도 표준편차,가중치가 적용된 평균 전자 친화도,가중치가 적용된 기하평균 전자 친화도,가중치가 적용된 원자 반지름 범위,EC
low,very low,low,4.418386379,42.57270574,384.7532988,2244.563119,771.1877466,302.6200974,116.6953189,-68.72897787,271.7000552,6.140307229,352.155622,304.5217801,Simple
medium,very high,medium,158.5265149,-174.590435,57.80067492,-16393.11256,1919.176484,309.9448727,,,12423.39082,91.08755013,,29.36793445,Complex
very low,very low,very low,2.537824309,,395.4056003,-6090.154634,1659.702006,,,101.3214996,-70.74081086,,229.1789262,8.843812666,Simple
medium,high,,23.73149824,293.1651113,250.8618562,1646.12649,938.7589959,,300.8813748,129.7457059,11200.65023,106.8959385,92.92228375,20.01252448,Complex
high,high,,22.86947163,87.60203842,57.93265388,,,159.688112,,297.7263283,5300.099424,92.99828966,316.4771357,,Complex
very high,medium,low,,,345.7961446,,,,,,,55.23333699,25.59307721,,Complex
very high,,very high,25.56548236,117.4071104,111.9915898,-14407.83896,1946.125099,336.6442356,,-266.3211259,,,107.789575,63.62642034,Intermediate
very high,very high,,12.80470582,,,2058.668138,1386.414485,,,,3084.749489,110.7757223,86.08339937,-57.75030641,Complex
high,very high,very high,,,284.6342965,,1696.543765,,54.93013407,131.9253662,,,72.30033916,32.3751806,Intermediate
low,,,14.97156209,503.7102719,213.005726,3353.183536,1074.951865,98.20754917,90.6917173,16.1398137,,339.4247143,140.8797902,22.54652711,Complex
high,high,very high,-2.268861101,92.23404438,61.92100865,1705.60001,957.6367946,164.8409885,57.85353816,-160.6738007,,92.3267374,341.0667308,,Complex
low,low,low,,513.0096845,158.6756128,26883.16196,1672.650078,,86.99185978,45.29584435,5857.04752,407.4169977,,217.4297844,Simple
,,,,,119.1166667,3588,733.1531284,,90.95360449,,,125.51,95.34304391,,Simple
low,low,very low,,,93.95,10346.66667,1393.031575,,,98.5,-8502.067925,73.46666667,54.75274689,111,Simple
,very high,,38.937994,,95.03333333,2150.7426,1278.826153,118.5935809,,36.00886,,114.876,,-97.24964283,Simple
high,medium,,0.919660337,,238.1469975,20242.71432,1841.859374,137.6395596,57.75652268,93.6736138,8149.915577,,72.9941481,54.15612247,Intermediate
high,,high,,105.3315613,,2607.904733,683.8960709,297.9473932,,120.3377633,13707.18058,67.931,303.7782429,43.28,Complex
very high,medium,high,,-232.2776161,,,717.5857141,,207.3975717,86.51981955,19174.35669,70.50508034,302.3085423,,Complex
,,high,,-171.2265518,,1946.033016,,141.0657637,58.66544921,-162.4210794,3762.648491,105.5754835,,,Complex
,high,very high,24.50602005,62.73985245,243.1367129,2387.606438,1222.700104,135.7684217,58.85985118,400.0229528,11876.01743,,39.95357455,39.70012795,Complex
,high,high,8.019307701,65.06087336,,1456.891607,957.2808693,,,96.605316,4110.183514,-202.7994803,,249.4836695,Intermediate
very low,,,48.18042009,,142.1516799,,714.3316853,156.1684184,151.4263268,236.2669099,,,51.32525715,,Simple
medium,low,medium,,-286.4196683,188.2746194,6462.357563,764.3959892,355.2714381,,,1427.766982,17.94679366,65.46392552,65.20112756,Simple
,medium,,,,,-5919.92991,,,-66.66023895,109.7621141,3512.725846,54.97065532,40.92588886,47.38082691,Complex
low,very low,low,-210.7874197,216.252146,,,816.210134,,82.55575809,441.9088461,,,57.510392,266.583372,Simple
high,medium,very high,57.60288423,,,2508.672461,,135.7465987,198.9592242,90.88684868,3953.637224,-246.53184,,57.96784087,Complex
very high,high,,-64.44739343,281.5077567,240.8733768,,1758.025946,337.503841,-149.4328367,,3219.962321,-176.9815213,308.5984122,,Intermediate
,,medium,145.3930682,-174.6878373,60.36946556,,,352.215247,58.60904368,-300.5763038,-10284.24615,90.20654175,,,Complex
low,medium,medium,139.5919453,7.671344737,133.7416675,4491.998298,876.8238891,110.2813767,46.18607388,,2976.896266,68.06755273,67.21615291,,Intermediate
,medium,medium,-107.7734047,,356.1562052,,863.7295601,304.8809016,,-104.9414815,,,,,Intermediate
low,low,very low,15.21134736,83.36880265,78.34923954,,1671.754932,132.0701548,-112.2727558,109.9767299,,68.27608869,139.099206,,Simple
,,very low,16.40211295,,,6918.159255,1315.858905,,,,,,93.68569818,142.9252716,Simple
medium,high,,25.49884666,52.41025224,69.5,1281.008942,1276.378834,143.4420193,68.96833623,-160.8018742,,-235.4019183,,,Complex
very low,very high,very low,12.68471429,12.12766857,70.9,1286.897714,944.1536581,355.5301113,17.45235279,35.67552667,20452.18186,,57.53232455,26.42857143,Simple
,,medium,3.27392357,93.01804074,60.98160571,,924.9143186,148.8989344,,315.9985827,2939.996041,,,338.274451,Intermediate
,very low,,,19.90660219,231.9191649,1753.269055,835.5665492,154.245484,-208.9964426,,758.2274869,41.17278742,57.55211796,59.07441575,Simple
high,high,high,,39.05057069,,1486.202468,,143.6843236,68.22558463,101.4812855,,,,,Intermediate
,,,,,54.79996907,-9796.975458,,196.4129136,,427.5535436,-13087.36136,,309.6192368,120.1692549,Simple
,,low,245.2777557,475.3584726,,,,302.4461126,,,-12897.74598,14.07388938,173.7836574,14.37326266,Simple
,very low,low,12.77855,-134.1912418,,1577.29,659.3560061,192.9071654,,33,1658.763462,,,,Simple
,,high,,,,,1866.131604,159.5451562,238.9357899,,14041.67527,60.67169187,44.31513054,306.3202807,Complex
medium,very high,high,10.36528605,55.29977662,74.20000194,1803.144352,962.7962785,140.8877187,-27.96882785,-54.79478454,4267.350981,113.6297205,100.6841896,,Intermediate
very high,,high,17.56134379,116.8975759,225.5858854,-16784.59467,1510.774861,320.2621128,59.93020479,-204.9388992,18734.4697,103.0887357,429.9379409,-213.7047313,Complex
high,high,,,53.92055639,,2243.888096,,140.8849789,300.8757029,95.45078069,,109.2611614,93.39412406,,Complex
low,,very low,,39.33333333,276.5804308,1168,802.7831317,287.7272788,-226.9898191,,304.3696583,32.02,12.57911292,42.6,Simple
very low,very low,very low,19.57848584,141.8333375,56.13211191,,1838.273223,280.4451843,120.2770296,250.843264,5346.01357,47.39008103,267.5510005,127.444833,Simple
,high,very high,-66.64571799,60.24684163,78.20577494,2177.253334,,,207.8857674,,,309.2484851,,38.06716433,Complex
,,very low,,,54.34732605,7909.855546,667.764019,179.9961617,,151.9200272,5380.364425,,,55.23869937,Simple
low,medium,,-203.2035505,,142.8175853,18521.73579,,90.14186564,26.43566605,40.3785813,4085.568047,,226.6987425,,Intermediate
very high,high,medium,9.777253333,106.6524907,,,942.064891,142.3217976,180.9934084,107.256645,3580.102554,-219.5067026,,,Intermediate
low,very low,low,260.4242275,-353.0935605,102.2828858,-11417.62348,,173.4365177,,66.86739807,-11248.33261,,,24.36712938,Simple
,high,very high,-166.3755692,422.0771977,,2611.689532,947.1224822,,,,,106.308916,94.34840979,27.22907892,Complex
high,very high,medium,,-213.1672988,122.244,,967.2253912,,40.30084923,123.610856,16459.0176,-208.4322771,314.5670294,,Intermediate
high,medium,very high,56.61011281,131.1948587,,,,155.8123919,82.09581277,96.1708029,4516.350139,62.50482746,41.4636639,372.9499094,Complex
very high,high,high,,93.0316579,,,,141.9318547,258.7443492,,,-116.2267805,,38.86780286,Intermediate
low,low,low,4.950475263,,106.2071473,2049.396161,,,,,1081.226754,154.050862,232.5484517,37.76304185,Simple
medium,very high,very high,16.4523664,94.84042044,,16531.42408,982.441957,253.54207,78.88101909,224.720914,3406.72372,,104.7630279,30.10102985,Intermediate
very low,low,,22.12861762,6.504809122,155.7839144,-10092.80578,1932.129204,146.4418055,,,3610.802029,,132.2491699,,Simple
high,high,medium,,54.70532756,52.18211519,1968.191233,935.5561852,295.0353973,53.21685124,,4076.937944,,69.75419505,308.4571772,Complex
medium,,high,26.38228917,53.31915733,66.1,1303.237867,,144.1300367,274.3475649,,11955.94331,105.9291667,70.96993849,,Complex
high,medium,very high,160.8892662,26.4013259,,,,,300.7366372,98.14018419,13642.66317,,50.51931538,47.40776207,Complex
high,very high,high,4.367484698,,303.2703269,2019.421719,945.2873592,,-176.5373727,98.1400526,3095.833689,107.4453485,,22.60030185,Intermediate
very high,,,58.49977084,,71.89097664,-5717.41905,1297.887546,241.4016676,58.09389872,-98.50455237,,337.1355909,42.92990146,66.33206027,Complex
high,high,high,,,67.01666667,1413.984737,942.9423878,136.6528333,,113.00443,4438.544854,103.9928879,,,Complex
high,high,,,87.26169745,,-18445.06113,944.8939672,151.0009304,-107.1980752,,,108.5170724,81.1191771,29.97243914,Complex
low,low,very low,-3.523489946,,207.0783526,,,250.5191561,105.3678249,35.35449375,203.4439098,,46.75757086,61.73129909,Simple
very high,medium,very high,,,,,,136.17915,,226.5523357,12770.51939,84.04592237,52.57168918,,Complex
very low,,low,-180.8368872,2.647512255,,,936.8513389,,100.5223733,21.50093548,233.5110243,135.6067816,55.67550473,,Intermediate
,very low,low,156.4795187,,301.1798545,,736.6015233,,57.09060563,64,4148.504309,,346.2142885,51.77777778,Simple
,high,high,,92.76895188,,,1324.503222,165.019189,317.6812757,435.5908296,-13744.51994,109.1491453,82.45482968,-248.3940453,Complex
very high,high,high,,,72.63650465,,1733.002319,147.0551563,,-287.0064896,,,,30.6890412,Intermediate
very low,,very low,10.14140701,3.95804444,311.254237,3754.809899,770.3486204,316.8466042,86.91414035,470.1362422,152.7951005,149.7444381,122.0027736,340.1817943,Simple
low,medium,,36.32181219,12.12076783,136.8661916,2533.509596,852.111551,100.7418652,55.54088062,,4842.940754,206.1219829,69.66977584,48.21564117,Complex
very low,high,low,45.74557441,8.475186987,362.0685408,,,233.4399782,,,,,385.6892052,181.0381797,Simple
very high,,high,25.65116678,99.80645238,302.7159253,2313.702273,941.9133189,139.4904669,-72.68176505,,3095.126179,388.3754491,97.67094219,,Intermediate
very low,low,very low,284.8701918,,195.9765188,,1300.815613,105.1118223,,40.04437632,,108.8802338,,25.97309221,Complex
,,very high,22.06550305,15.01293881,62.40508219,5152.391303,1542.484952,100.2317719,,97.89908694,,24.44992143,57.17418926,,Intermediate
low,,low,,,64.94965139,,,,,89.41121151,,,284.4738549,297.6609307,Intermediate
,high,,3.735915759,94.60116807,87.63601807,-14596.67296,959.6332274,,63.47439654,104.0150744,3857.746178,113.2426665,94.33939433,,Intermediate
low,very low,,62.75585083,,292.6678521,,1936.503481,,-239.9155868,-244.0701817,,138.2796324,380.8815626,,Simple
,,very low,-192.1363244,,,,1316.512568,,,14.01883764,8095.007581,147.8497287,133.2308206,15.20422812,Simple
very high,,high,8.92768543,69.45157631,,2099.369043,,147.1063484,,100.5318744,3898.23452,108.1533394,,34.05667012,Intermediate
very high,medium,medium,,69.22299824,243.6093237,,1568.91251,140.0298642,240.4090112,,3360.316336,105.3156415,89.42479343,66.79515245,Intermediate
very high,very high,medium,-215.7897342,94.1012216,88.42941926,2302.238828,945.9982285,145.897188,57.00621186,122.2402672,-9100.359219,-112.9947055,113.9921146,158.2566058,Intermediate
high,very high,low,,,60.10836741,-5489.625135,1611.236775,,,,4890.611949,90.7347786,57.58538023,256.0595236,Complex
high,high,very high,-121.3907999,56.72985765,55.2571614,1893.839565,941.8921186,229.8835415,65.81492868,,,105.691552,245.1743437,-140.9934775,Complex
,high,high,120.227066,,325.0110904,2027.536492,,149.1483626,55.52953485,,3394.758885,108.0865255,231.6350789,38.30398773,Complex
very low,medium,,,,125.1220209,,882.1533069,160.4785255,246.0172589,,4453.471097,63.74915286,63.08205571,103.7310508,Complex
very low,low,very low,,14.14687317,58.7975324,2853.085911,1428.531893,329.1557904,136.3086168,42.26880441,2646.675194,,51.17561849,15.26049044,Simple
high,,,-177.916774,-191.579538,210.6450152,2661.244653,701.8317986,136.6528333,73.25986015,113.00443,,69.68782178,32.57524253,38.31683168,Complex
very low,very low,very low,,43.9358456,,7788.250538,1870.583196,348.6354682,,,1417.708819,-64.2660941,,,Simple
low,,high,,,110.78533,3879.98961,1378.888749,,61.42945649,32.13869522,-5248.326037,64.9626087,235.6607441,73.19002593,Complex
medium,high,high,,,,26916.15955,1367.875715,,57.33352073,105.8833238,14435.99084,,,,Intermediate
medium,high,very high,,91.16379101,87.99156605,,,161.8717716,79.90479999,,3706.973667,,89.67377381,32.78744599,Complex
very low,very low,very low,99.0698,497.6417495,107.6,,776.1790391,146.3659797,-206.5480527,160,13130.3658,102.1,98.72829779,71.4,Simple
,low,,,,349.2612639,2183.429047,788.882832,350.5219565,,92.17227697,327.6096531,-14.83296371,287.7045668,60.02278293,Simple
,,high,-164.8185316,,,,724.0998202,133.5625803,76.29990788,91.205316,3719.63542,247.3521961,,,Intermediate
low,low,low,22.3979793,57.00210127,,,671.7892522,175.4261014,129.3271093,,13051.94652,85.75243888,,49.54124563,Simple
very high,high,high,1.202625401,,85.84763996,2447.459711,968.708076,,65.27375526,111.2770092,,,92.59693908,283.2157669,Intermediate
,very high,medium,-139.529358,,,,939.977501,266.8226406,67.88297935,429.5055679,-11002.90354,307.4890274,,49.52857143,Intermediate
very high,medium,,-95.95446763,171.4247743,82.3375,22841.23769,689.6360127,,66.98998734,469.8133973,,230.0003563,420.92442,55.28571429,Intermediate
very high,,very high,,367.4060608,,1458.62034,942.0373451,154.6844803,53.79866462,137.6642824,,106.1898625,,26.57500038,Complex
,medium,,,16.66252109,235.2043525,23575.28423,1507.364995,,41.13732978,338.8849792,4161.115774,60.29274139,231.7747021,,Complex
,high,medium,-135.1165238,51.49910667,60.3380846,1907.887782,1738.79339,,,,5304.37599,91.68161571,,26.88562902,Intermediate
very high,high,high,-2.777455775,131.4028678,,,934.2259036,137.1077241,335.8636425,453.8695383,4550.219304,-180.5879313,330.8593735,39.16405524,Complex
,high,medium,26.58538933,-346.4756526,,1368.437867,,,59.50608142,415.1960139,4004.273231,106.0498,,14.80666667,Intermediate
,very high,high,6.60376423,-146.8688753,,-19993.83827,1090.094191,,-69.04489978,110.4972554,3853.675868,-245.2990715,262.4357634,12.97515782,Intermediate
,very high,very low,,18.98316325,91.34431347,12247.59317,,223.9755512,37.17969437,-147.6608042,17159.17423,-230.1119591,,51.23404795,Simple
,low,,44.76171284,314.5513548,97.65,4725.268421,717.7947529,,263.8004592,88.75,7548.998787,,213.9307245,57.60315789,Intermediate
medium,,very high,2.740919537,,75.19107662,,,,,,-8116.940852,106.4973149,411.5131156,,Complex
very high,medium,high,37.71933219,,69.10549919,1922.291227,,,,321.7964426,,54.99399096,58.45870242,,Intermediate
,very high,very high,12.01600514,56.25038002,89.02502729,,1917.434177,,87.77341081,90.84609701,3128.429837,,281.8622416,38.5869234,Complex
very high,,,,,345.9343339,2347.762663,,222.8653046,57.95506082,,3152.627581,,84.56777703,38.70675676,Complex
very high,medium,high,-200.3898938,51.82838862,92.16583495,1947.455609,,149.7492423,50.07841447,111.6098544,20110.87364,,267.2690251,,Complex
very low,very low,very low,94.65477,,383.8559735,-9249.987045,,196.7943089,130.3324494,35.5,-9774.006691,-165.7980247,22.10372945,57.98,Simple
medium,low,low,24.05393718,,50.16038138,,782.8823448,160.3445521,,88.35541856,,246.4654248,40.70916124,25.61095745,Intermediate
high,very high,high,-183.290688,423.1630047,,14746.90554,940.1619468,154.7291787,69.44017852,-55.44066636,3130.908021,111.8803053,,48.64270718,Complex
medium,very high,,,-393.9044399,61.93262265,1366.608214,970.7462124,134.5174731,-60.2504981,135.1057506,-4389.716269,104.5177102,,,Complex
high,low,high,55.23463668,-266.7785313,,21933.63851,683.9675094,227.4214659,,120.3377633,,,31.29811245,42.41093563,Complex
low,,low,61.99628571,-110.4000981,78.13333333,-9121.269473,,,,,7339.669853,,285.0945672,85.71428571,Simple
high,very high,,16.76245816,,73.41487893,,1896.402283,365.2395974,,102.0652004,,,85.89662776,35.3679522,Complex
very low,low,,62.62571127,,110.3,24749.90691,,224.0994942,120.2585563,,-11612.51396,-114.0705909,,266.9868341,Simple
high,,very high,25.01061114,,76.11926714,1480.675512,,370.2694177,,103.2731527,-10271.53849,90.28000376,65.6034165,,Complex
very low,,high,-106.4855555,,60.94681398,,718.6975333,,61.49087308,,2781.671492,72.09353159,70.9897285,113.3804383,Intermediate
medium,low,high,42.57930608,82.03546285,79.70089343,3536.051592,,,359.7048266,,4120.429681,57.89800056,82.67943234,,Complex
medium,low,low,,,304.8118004,12691.31721,774.713475,151.4396091,89.86680475,68.54808259,4623.278448,,407.6014249,,Simple
,medium,,6.766538757,,45.32840468,,,,,276.2306721,2603.433506,71.83895783,34.308316,32.64644519,Complex
very high,high,high,18.14705372,93.64480377,66.31313871,,1204.322371,153.4495886,54.2531591,95.42719954,3142.117252,102.1032123,89.17135223,38.2063137,Intermediate
very low,very low,,0,-283.6631292,402.2671597,0,1315.768052,,-65.62643668,71,0,206.8,210.1863593,0,Simple
low,,very high,27.43995122,,82.76,15290.48304,774.7641278,358.9881211,-225.2000023,74.8,3188.969213,-229.4007148,427.5487257,,Intermediate
low,medium,very low,-102.6286689,41.21328109,299.3798346,3118.729414,782.4157142,223.9436193,287.4133642,23.51428129,5343.441122,87.15353358,,36.57714641,Intermediate
very low,low,low,30.466164,,93.3,,,,36.27595627,350.541429,4493.84479,99.052,,76.32,Intermediate
medium,high,,,92.12885712,86.20307634,,969.3672523,144.6476855,-80.49983801,,3224.648727,,,17.27547536,Intermediate
,low,high,,,69.075,,896.9487091,,,36.059,-4571.055549,,,68.63235294,Intermediate
very high,medium,,26.00415211,172.4295223,64.38772083,14934.18999,711.9195984,,53.98407762,89.32463709,3613.62671,,,,Complex
high,high,high,13.24181828,70.42827666,74.11792397,1577.151695,953.2469588,112.6302241,29.42385898,,,210.2548686,,30.6750497,Complex
very high,low,,31.41730142,119.1566628,,,705.6420256,,314.9070183,99.22637619,4439.96258,58.97172174,38.55417745,,Intermediate
very low,very low,,17.04661127,22.78472141,63.11067758,-5806.846253,688.6854681,223.7659809,209.8320054,35.04625365,512.2555563,,61.32934463,84.79483807,Simple
high,high,low,,,56.32840146,25170.12815,929.6095979,257.9237515,62.05850163,111.190881,5037.744511,93.46263298,233.3205897,,Complex
very high,,medium,28.18279763,,68.52531051,,,,,127.4452727,4488.424207,,,,Intermediate
very low,,medium,33.99159283,11.80208093,,,,185.3800371,71.10005748,,2916.820305,-58.14744302,,67.31686278,Intermediate
low,very low,,51.7706897,23.88000514,6.310068217,4951.969731,668.9076742,370.9000174,,55.03530736,,-108.1694077,332.6128305,,Simple
high,medium,high,35.47211821,,357.0199862,2546.484681,716.7029639,,83.80383326,108.0558565,10732.05812,,,-235.08628,Complex
very high,very high,,,,,,960.1673979,140.8656137,219.4987542,111.0963738,-10169.34305,,355.0162648,57.3737772,Intermediate
very low,,,,-399.3746522,75.8,,,,,-164.1467056,9574.986664,75.8,,,Simple
medium,medium,,,16.91607228,124.5911733,3813.996482,921.3794157,91.58677968,38.71330438,95.40699361,3039.298983,89.90784694,63.15925648,,Intermediate
low,medium,low,48.08928246,,127.5017671,2574.879756,949.7459469,,,36.7497234,,296.5769422,63.04390473,46.00097561,Intermediate
low,low,,13.92844488,31.49022886,332.1750111,,787.2397221,114.0677337,134.6586664,-198.5576812,,,102.178702,,Simple
high,high,high,3.81151259,135.1457059,,2075.430793,943.4520704,245.2009932,-159.31103,99.92406709,4193.384317,349.2516039,,-198.8387744,Complex
very low,,medium,-121.7466114,,71.23958704,,839.7942818,141.5449705,16.80486108,,-8672.22652,-130.6442126,,,Simple
low,,,10.90862781,61.05263158,,-10913.8343,673.0681131,,90.87069688,55.5,1105.5,,60.02105259,,Simple
very high,,low,,94.62322126,,,,,,248.9858301,3194.938946,108.5749211,86.40518282,15.85173502,Intermediate
low,,very low,4.922117978,107.9085618,,,,198.2030291,,248.7454294,6149.554924,,214.3864906,,Simple
low,medium,,235.2485231,,109.1584378,2380.004944,785.0134262,,,,4443.624393,,64.2927758,265.4129703,Complex
medium,low,high,29.44245196,,79.4339373,,1981.16003,,,112.3567378,-8863.199505,,73.30627932,45.91336703,Intermediate
very low,,low,-124.5932959,,309.0115529,,762.5600157,193.3913304,154.3924447,-86.43889635,1081.162769,,357.8349167,4.416188359,Simple
very low,,very low,43.89633209,-339.8231566,,5255.281265,,,41.10670792,,,138.7008362,307.6962423,52.49938179,Simple
high,very high,,9.78740006,,258.2431317,-18125.99106,,143.912466,,-147.5160361,4008.804041,109.3828942,286.9189981,39.17942826,Intermediate
medium,low,very low,48.54059071,127.8839801,,,,,,150.9005013,9519.213843,,63.93376726,18.7013799,Simple
,high,,248.9016027,,156.8706664,2110.479211,,160.8697045,79.481019,11.79376793,6593.688973,144.6326829,150.4404462,24.69699905,Complex
very low,low,medium,-196.1982236,52.74384671,,3463.450849,807.8767981,,-91.8118155,,-2209.300159,131.7543995,79.66591739,30.02089377,Intermediate
very low,very low,,51.0845,58.75,40.95,3810.25,553.4701376,,,,20488.28267,35.675,34.68222848,70.75,Simple
low,low,low,68.05075788,79.79927151,105.3010365,,849.4560038,,,62.58395378,,98.45100989,426.6109819,82.27028475,Simple
,high,medium,18.59213407,131.6886673,,26208.45914,,,57.98542119,100.2863652,3350.789208,105.8297541,240.6459615,,Intermediate
very high,medium,,,-129.5528451,62.36121917,-11299.396,,132.1250467,58.43084734,114.1221239,4472.522998,,55.51899816,-73.61407569,Intermediate
very high,,medium,11.79183344,99.66281937,,,1930.609027,365.5624485,37.37113512,-78.53220924,10514.00361,105.5947169,267.3053518,29.22170918,Intermediate
very high,very high,,13.25202429,93.23971885,63.22092075,-15856.5086,939.2058932,,,101.2460073,-3209.824462,,94.88920959,37.73203996,Intermediate
medium,very high,very high,29.05302639,57.35720371,83.38,,2017.620785,,79.06435632,,-11054.10718,113.1540448,,41.81726908,Intermediate
very high,,high,9.437712212,125.3492829,,2573.899849,,,58.41490548,,11248.94121,106.9380895,63.31327022,40.38079533,Complex
medium,very high,,-0.146368527,77.296506,66.84017915,1429.001898,937.1456779,,,113.2223391,3994.073883,110.1912376,,17.94916564,Complex
low,low,low,25.01720573,26.04982639,320.9627293,3287.937829,1898.665763,337.8010073,-143.0837606,432.0393491,5174.848374,,,,Intermediate
very high,very low,medium,-148.7353013,166.2774788,44.88578792,2977.60981,722.0162897,163.7770694,,93.28833003,3315.642028,59.69481603,60.54696774,,Complex
very low,low,low,59.30545719,29.03855509,110.3,3027.462081,1928.928829,254.8661723,120.2585563,,,,,,Simple
high,,low,8.434178571,85.59714286,,16592.75008,1521.183796,129.7112922,59.40906034,-284.9262753,4361.70456,164.6642857,,273.6809928,Simple
